interacting_pair,interacting_cell,id,valueResponders,valueNonresponders,RatioRespondersVsNonresponders,LogRatioRespondersVsNonresponders
MIF_TNFRSF14,Tumor_1.CD8_ex_T_cells,MIF_TNFRSF14-Tumor_1.CD8_ex_T_cells,7.472,0.1,74.72,1.873436863
EFNA4_EPHA4,Tumor_1.CD8_mem_T_cells,EFNA4_EPHA4-Tumor_1.CD8_mem_T_cells,0.407,0.1,4.07,0.609594409
EFNA3_EPHA4,Tumor_1.CD8_mem_T_cells,EFNA3_EPHA4-Tumor_1.CD8_mem_T_cells,0.433,0.1,4.33,0.636487896
PLXNB1_SEMA4D,Tumor_1.CD8_mem_T_cells,PLXNB1_SEMA4D-Tumor_1.CD8_mem_T_cells,0.594,0.538,1.104089219,0.043004169
FGFR3_EPHA4,Tumor_1.CD8_mem_T_cells,FGFR3_EPHA4-Tumor_1.CD8_mem_T_cells,0.446,0.1,4.46,0.649334859
EFNB2_EPHA4,Tumor_1.CD8_mem_T_cells,EFNB2_EPHA4-Tumor_1.CD8_mem_T_cells,0.541,0.1,5.41,0.733197265
PLXNB2_SEMA4D,Tumor_1.CD8_mem_T_cells,PLXNB2_SEMA4D-Tumor_1.CD8_mem_T_cells,0.722,0.598,1.20735786,0.081836014
EFNA1_EPHA4,Tumor_1.CD8_mem_T_cells,EFNA1_EPHA4-Tumor_1.CD8_mem_T_cells,1.729,0.1,17.29,1.237794993
CDH1_aEb7 complex,Tumor_1.CD8_mem_T_cells,CDH1_aEb7 complex-Tumor_1.CD8_mem_T_cells,0.607,0.1,6.07,0.783188691
EGFR_TGFB1,Tumor_1.CD8_mem_T_cells,EGFR_TGFB1-Tumor_1.CD8_mem_T_cells,3.811,2.066,1.844627299,0.265908632
TNC_a4b1 complex,Tumor_1.CD8_mem_T_cells,TNC_a4b1 complex-Tumor_1.CD8_mem_T_cells,1.546,2.392,0.64632107,-0.189551686
TNFRSF1A_FASLG,Tumor_1.CD8_mem_T_cells,TNFRSF1A_FASLG-Tumor_1.CD8_mem_T_cells,0.878,0.847,1.036599764,0.015611106
EGFR_COPA,Tumor_1.CD8_mem_T_cells,EGFR_COPA-Tumor_1.CD8_mem_T_cells,0.764,0.66,1.157575758,0.063549423
FAM3C_CLEC2D,Tumor_1.CD8_mem_T_cells,FAM3C_CLEC2D-Tumor_1.CD8_mem_T_cells,2.864,2.819,1.015963107,0.006877938
FN1_a4b1 complex,Tumor_1.CD8_mem_T_cells,FN1_a4b1 complex-Tumor_1.CD8_mem_T_cells,1.18,0.1,11.8,1.071882007
MIF_TNFRSF14,Tumor_1.CD8_mem_T_cells,MIF_TNFRSF14-Tumor_1.CD8_mem_T_cells,7.471,0.1,74.71,1.873378736
ACVR1_BMPR2_BMP6,Tumor_1.DCs,ACVR1_BMPR2_BMP6-Tumor_1.DCs,0.243,0.1,2.43,0.385606274
BMPR1A_BMPR2_BMP6,Tumor_1.DCs,BMPR1A_BMPR2_BMP6-Tumor_1.DCs,0.208,0.1,2.08,0.318063335
DSC2_DSG2,Tumor_1.DCs,DSC2_DSG2-Tumor_1.DCs,1.135,0.1,11.35,1.054995862
EGFR_TGFA,Tumor_1.DCs,EGFR_TGFA-Tumor_1.DCs,0.509,0.434,1.17281106,0.069228053
MDK_SORL1,Tumor_1.DCs,MDK_SORL1-Tumor_1.DCs,3.035,0.1,30.35,1.482158695
NRP1_VEGFA,Tumor_1.DCs,NRP1_VEGFA-Tumor_1.DCs,0.555,0.1,5.55,0.744292983
CXADR_FAM3C,Tumor_1.DCs,CXADR_FAM3C-Tumor_1.DCs,1.002,2.134,0.469540769,-0.328326694
NRP2_VEGFA,Tumor_1.DCs,NRP2_VEGFA-Tumor_1.DCs,0.932,0.981,0.950050968,-0.022253095
TFRC_TNFSF13B,Tumor_1.DCs,TFRC_TNFSF13B-Tumor_1.DCs,5.559,4.895,1.135648621,0.055243978
EGFR_GRN,Tumor_1.DCs,EGFR_GRN-Tumor_1.DCs,1.605,1.202,1.335274542,0.125570569
JAG1_NOTCH2,Tumor_1.DCs,JAG1_NOTCH2-Tumor_1.DCs,0.709,1.025,0.691707317,-0.16007763
TNFRSF1A_GRN,Tumor_1.DCs,TNFRSF1A_GRN-Tumor_1.DCs,1.663,0.1,16.63,1.220892249
MIF_TNFRSF14,Tumor_1.DCs,MIF_TNFRSF14-Tumor_1.DCs,7.943,0.1,79.43,1.899984563
DPP4_CXCL12,Tumor_1.Endothelial,DPP4_CXCL12-Tumor_1.Endothelial,1.929,1.36,1.418382353,0.151793319
SEMA4A_PLXND1,Tumor_1.Endothelial,SEMA4A_PLXND1-Tumor_1.Endothelial,0.645,0.704,0.916193182,-0.038012945
BMPR1A_BMPR2_BMP2,Tumor_1.Endothelial,BMPR1A_BMPR2_BMP2-Tumor_1.Endothelial,1.102,1.03,1.069902913,0.02934437
ACKR3_CXCL12,Tumor_1.Endothelial,ACKR3_CXCL12-Tumor_1.Endothelial,2.242,1.767,1.268817204,0.103399059
NOTCH2_DLL4,Tumor_1.Endothelial,NOTCH2_DLL4-Tumor_1.Endothelial,1.323,0.699,1.892703863,0.277082668
TNFSF10_TNFRSF10D,Tumor_1.Endothelial,TNFSF10_TNFRSF10D-Tumor_1.Endothelial,2.357,1.18,1.997457627,0.300477575
EPHB6_EFNB2,Tumor_1.Endothelial,EPHB6_EFNB2-Tumor_1.Endothelial,0.646,0.1,6.46,0.810232518
EGFR_HBEGF,Tumor_1.Endothelial,EGFR_HBEGF-Tumor_1.Endothelial,0.615,1.16,0.530172414,-0.275582873
MIF_TNFRSF10D,Tumor_1.Endothelial,MIF_TNFRSF10D-Tumor_1.Endothelial,8.786,0.1,87.86,1.943791199
CD44_SELE,Tumor_1.Endothelial,CD44_SELE-Tumor_1.Endothelial,7.638,4.852,1.574196208,0.197058862
CXADR_FAM3C,Tumor_1.Endothelial,CXADR_FAM3C-Tumor_1.Endothelial,1.21,2.295,0.527233115,-0.27799732
FN1_a5b1 complex,Tumor_1.Endothelial,FN1_a5b1 complex-Tumor_1.Endothelial,0.971,0.1,9.71,0.98721923
LAMC1_a6b1 complex,Tumor_1.Endothelial,LAMC1_a6b1 complex-Tumor_1.Endothelial,1.029,1.582,0.650442478,-0.186791104
EGFR_GRN,Tumor_1.Endothelial,EGFR_GRN-Tumor_1.Endothelial,0.795,1.35,0.588888889,-0.22996664
EGFR_COPA,Tumor_1.Endothelial,EGFR_COPA-Tumor_1.Endothelial,0.722,0.557,1.296229803,0.112682002
CD46_JAG1,Tumor_1.Endothelial,CD46_JAG1-Tumor_1.Endothelial,0.801,1.203,0.665835411,-0.176633111
MIF_TNFRSF14,Tumor_1.Endothelial,MIF_TNFRSF14-Tumor_1.Endothelial,7.538,0.1,75.38,1.877256133
OSMR_OSM,Tumor_1.Macrophages,OSMR_OSM-Tumor_1.Macrophages,0.378,0.1,3.78,0.5774918
LRP6_CKLF,Tumor_1.Macrophages,LRP6_CKLF-Tumor_1.Macrophages,0.748,0.1,7.48,0.873901598
NRP1_VEGFA,Tumor_1.Macrophages,NRP1_VEGFA-Tumor_1.Macrophages,0.864,0.1,8.64,0.936513742
MDK_LRP1,Tumor_1.Macrophages,MDK_LRP1-Tumor_1.Macrophages,3.05,1.257,2.426412092,0.384964562
EGFR_HBEGF,Tumor_1.Macrophages,EGFR_HBEGF-Tumor_1.Macrophages,0.849,0.611,1.389525368,0.14286648
PROS1_AXL,Tumor_1.Macrophages,PROS1_AXL-Tumor_1.Macrophages,0.298,0.1,2.98,0.474216264
CXADR_FAM3C,Tumor_1.Macrophages,CXADR_FAM3C-Tumor_1.Macrophages,1.004,0.1,10.04,1.001733713
EGFR_AREG,Tumor_1.Macrophages,EGFR_AREG-Tumor_1.Macrophages,3.232,1.509,2.141815772,0.330782112
NRP2_VEGFA,Tumor_1.Macrophages,NRP2_VEGFA-Tumor_1.Macrophages,1.241,1.782,0.69640853,-0.157135918
EGFR_MIF,Tumor_1.Macrophages,EGFR_MIF-Tumor_1.Macrophages,5.016,4.029,1.244973939,0.09516026
FN1_a5b1 complex,Tumor_1.Macrophages,FN1_a5b1 complex-Tumor_1.Macrophages,0.869,0.1,8.69,0.939019776
TFRC_TNFSF13B,Tumor_1.Macrophages,TFRC_TNFSF13B-Tumor_1.Macrophages,0.839,2.386,0.351634535,-0.453908479
EGFR_GRN,Tumor_1.Macrophages,EGFR_GRN-Tumor_1.Macrophages,1.771,1.822,0.972008782,-0.012329811
EGFR_COPA,Tumor_1.Macrophages,EGFR_COPA-Tumor_1.Macrophages,0.655,0.55,1.190909091,0.07587861
FN1_aVb1 complex,Tumor_1.Macrophages,FN1_aVb1 complex-Tumor_1.Macrophages,0.745,0.1,7.45,0.872156273
JAG1_NOTCH2,Tumor_1.Macrophages,JAG1_NOTCH2-Tumor_1.Macrophages,1.128,1.624,0.694581281,-0.158276925
TNFRSF1A_GRN,Tumor_1.Macrophages,TNFRSF1A_GRN-Tumor_1.Macrophages,1.83,1.885,0.970822281,-0.012860265
MIF_TNFRSF14,Tumor_1.Macrophages,MIF_TNFRSF14-Tumor_1.Macrophages,7.461,0.1,74.61,1.87279704
PTN_PTPRZ1,Tumor_1.Melanocytes,PTN_PTPRZ1-Tumor_1.Melanocytes,0.688,0.1,6.88,0.837588438
MDK_PTPRZ1,Tumor_1.Melanocytes,MDK_PTPRZ1-Tumor_1.Melanocytes,3.295,0.1,32.95,1.517855419
LRP6_CKLF,Tumor_1.Melanocytes,LRP6_CKLF-Tumor_1.Melanocytes,0.569,0.1,5.69,0.755112266
CSPG4_a3b1 complex,Tumor_1.Melanocytes,CSPG4_a3b1 complex-Tumor_1.Melanocytes,0.536,0.1,5.36,0.72916479
NRP1_VEGFB,Tumor_1.Melanocytes,NRP1_VEGFB-Tumor_1.Melanocytes,0.294,0.1,2.94,0.46834733
EPHB6_EFNB2,Tumor_1.Melanocytes,EPHB6_EFNB2-Tumor_1.Melanocytes,0.584,0.1,5.84,0.766412847
MDK_LRP1,Tumor_1.Melanocytes,MDK_LRP1-Tumor_1.Melanocytes,2.951,0.1,29.51,1.469969209
CXADR_FAM3C,Tumor_1.Melanocytes,CXADR_FAM3C-Tumor_1.Melanocytes,1.199,2.458,0.487794955,-0.311762695
EGFR_MIF,Tumor_1.Melanocytes,EGFR_MIF-Tumor_1.Melanocytes,9.195,5.546,1.657951677,0.219571868
LAMC1_a6b1 complex,Tumor_1.Melanocytes,LAMC1_a6b1 complex-Tumor_1.Melanocytes,0.444,0.1,4.44,0.64738297
GRN_SORT1,Tumor_1.Melanocytes,GRN_SORT1-Tumor_1.Melanocytes,0.591,0.1,5.91,0.771587481
EGFR_GRN,Tumor_1.Melanocytes,EGFR_GRN-Tumor_1.Melanocytes,1.844,0.1,18.44,1.265760917
NRP2_SEMA3C,Tumor_1.Melanocytes,NRP2_SEMA3C-Tumor_1.Melanocytes,1.528,2.333,0.654950707,-0.183791385
TNFRSF1A_GRN,Tumor_1.Melanocytes,TNFRSF1A_GRN-Tumor_1.Melanocytes,1.903,0.1,19.03,1.279438788
MIF_TNFRSF14,Tumor_1.Melanocytes,MIF_TNFRSF14-Tumor_1.Melanocytes,7.942,0.1,79.42,1.899929883
COL4A5_a1b1 complex,Tumor_1.Myofibroblasts,COL4A5_a1b1 complex-Tumor_1.Myofibroblasts,0.912,1.602,0.56928839,-0.244667673
EDN2_EDNRA,Tumor_1.Myofibroblasts,EDN2_EDNRA-Tumor_1.Myofibroblasts,1.472,2.482,0.593070105,-0.226893967
COL5A1_a1b1 complex,Tumor_1.Myofibroblasts,COL5A1_a1b1 complex-Tumor_1.Myofibroblasts,0.714,0.1,7.14,0.853698212
LAMC1_a7b1 complex,Tumor_1.Myofibroblasts,LAMC1_a7b1 complex-Tumor_1.Myofibroblasts,0.909,0.75,1.212,0.08350262
PLXNB2_SEMA4C,Tumor_1.Myofibroblasts,PLXNB2_SEMA4C-Tumor_1.Myofibroblasts,0.758,0.467,1.623126338,0.210352325
COL11A1_a1b1 complex,Tumor_1.Myofibroblasts,COL11A1_a1b1 complex-Tumor_1.Myofibroblasts,1.015,0.1,10.15,1.006466042
COL7A1_a1b1 complex,Tumor_1.Myofibroblasts,COL7A1_a1b1 complex-Tumor_1.Myofibroblasts,0.953,0.1,9.53,0.979092901
COL17A1_a1b1 complex,Tumor_1.Myofibroblasts,COL17A1_a1b1 complex-Tumor_1.Myofibroblasts,0.881,0.1,8.81,0.944975908
BMPR1A_BMPR2_BMP2,Tumor_1.Myofibroblasts,BMPR1A_BMPR2_BMP2-Tumor_1.Myofibroblasts,0.341,0.1,3.41,0.532754379
COL5A2_a1b1 complex,Tumor_1.Myofibroblasts,COL5A2_a1b1 complex-Tumor_1.Myofibroblasts,0.799,1.444,0.5533241,-0.257020414
COL9A2_a1b1 complex,Tumor_1.Myofibroblasts,COL9A2_a1b1 complex-Tumor_1.Myofibroblasts,1.277,0.1,12.77,1.106190897
ACKR3_CXCL12,Tumor_1.Myofibroblasts,ACKR3_CXCL12-Tumor_1.Myofibroblasts,1.061,1.427,0.74351787,-0.128708589
NRP1_PGF,Tumor_1.Myofibroblasts,NRP1_PGF-Tumor_1.Myofibroblasts,0.345,0.1,3.45,0.537819095
COL12A1_a1b1 complex,Tumor_1.Myofibroblasts,COL12A1_a1b1 complex-Tumor_1.Myofibroblasts,0.982,0.1,9.82,0.992111488
COL16A1_a1b1 complex,Tumor_1.Myofibroblasts,COL16A1_a1b1 complex-Tumor_1.Myofibroblasts,0.911,1.576,0.578045685,-0.238037836
COL14A1_a1b1 complex,Tumor_1.Myofibroblasts,COL14A1_a1b1 complex-Tumor_1.Myofibroblasts,0.9,0.1,9,0.954242509
COL27A1_a1b1 complex,Tumor_1.Myofibroblasts,COL27A1_a1b1 complex-Tumor_1.Myofibroblasts,1.651,1.489,1.108797851,0.044852376
TNFSF10_RIPK1,Tumor_1.Myofibroblasts,TNFSF10_RIPK1-Tumor_1.Myofibroblasts,0.865,0.665,1.30075188,0.114194462
COL4A2_a1b1 complex,Tumor_1.Myofibroblasts,COL4A2_a1b1 complex-Tumor_1.Myofibroblasts,0.947,1.602,0.59113608,-0.228312533
COL4A1_a1b1 complex,Tumor_1.Myofibroblasts,COL4A1_a1b1 complex-Tumor_1.Myofibroblasts,0.773,0.1,7.73,0.888179494
NRP2_PGF,Tumor_1.Myofibroblasts,NRP2_PGF-Tumor_1.Myofibroblasts,0.723,1.114,0.649012567,-0.187746894
EGFR_HBEGF,Tumor_1.Myofibroblasts,EGFR_HBEGF-Tumor_1.Myofibroblasts,0.629,0.1,6.29,0.798650645
COL18A1_a1b1 complex,Tumor_1.Myofibroblasts,COL18A1_a1b1 complex-Tumor_1.Myofibroblasts,1.832,1.833,0.999454446,-0.000236996
PROS1_AXL,Tumor_1.Myofibroblasts,PROS1_AXL-Tumor_1.Myofibroblasts,0.719,0.1,7.19,0.85672889
CXADR_FAM3C,Tumor_1.Myofibroblasts,CXADR_FAM3C-Tumor_1.Myofibroblasts,1.072,2.375,0.451368421,-0.345468829
JAG1_NOTCH3,Tumor_1.Myofibroblasts,JAG1_NOTCH3-Tumor_1.Myofibroblasts,3.567,2.521,1.414914716,0.150730264
EGFR_GRN,Tumor_1.Myofibroblasts,EGFR_GRN-Tumor_1.Myofibroblasts,0.771,1.05,0.734285714,-0.134134921
EGFR_COPA,Tumor_1.Myofibroblasts,EGFR_COPA-Tumor_1.Myofibroblasts,0.587,0.619,0.948303716,-0.023052548
CD46_JAG1,Tumor_1.Myofibroblasts,CD46_JAG1-Tumor_1.Myofibroblasts,1.668,1.701,0.980599647,-0.008508267
MIF_TNFRSF14,Tumor_1.Myofibroblasts,MIF_TNFRSF14-Tumor_1.Myofibroblasts,7.34,0.1,73.4,1.86569606
LRP6_CKLF,Tumor_1.NK_cells,LRP6_CKLF-Tumor_1.NK_cells,1.027,0.1,10.27,1.011570444
EGFR_TGFB1,Tumor_1.NK_cells,EGFR_TGFB1-Tumor_1.NK_cells,2.315,3.717,0.622814097,-0.205641566
TNC_a4b1 complex,Tumor_1.NK_cells,TNC_a4b1 complex-Tumor_1.NK_cells,1.864,2.743,0.67954794,-0.1677799
EGFR_AREG,Tumor_1.NK_cells,EGFR_AREG-Tumor_1.NK_cells,4.045,2.5,1.618,0.208978517
EGFR_MIF,Tumor_1.NK_cells,EGFR_MIF-Tumor_1.NK_cells,3.879,0.1,38.79,1.58871978
TNFRSF1A_FASLG,Tumor_1.NK_cells,TNFRSF1A_FASLG-Tumor_1.NK_cells,2.022,1.386,1.458874459,0.164017921
EGFR_COPA,Tumor_1.NK_cells,EGFR_COPA-Tumor_1.NK_cells,0.686,0.754,0.909814324,-0.04104723
JAG1_NOTCH2,Tumor_1.NK_cells,JAG1_NOTCH2-Tumor_1.NK_cells,0.951,0.1,9.51,0.978180517
FN1_a4b1 complex,Tumor_1.NK_cells,FN1_a4b1 complex-Tumor_1.NK_cells,1.498,0.1,14.98,1.175511813
CD46_JAG1,Tumor_1.NK_cells,CD46_JAG1-Tumor_1.NK_cells,0.793,0.1,7.93,0.899273187
CD55_ADGRE5,Tumor_1.NK_cells,CD55_ADGRE5-Tumor_1.NK_cells,4.428,2.293,1.931094636,0.285803557
MIF_TNFRSF14,Tumor_1.NK_cells,MIF_TNFRSF14-Tumor_1.NK_cells,7.456,0.1,74.56,1.872505899
CDH1_aEb7 complex,Tumor_1.Plasma_cells,CDH1_aEb7 complex-Tumor_1.Plasma_cells,0.613,0.1,6.13,0.787460475
CXADR_FAM3C,Tumor_1.Plasma_cells,CXADR_FAM3C-Tumor_1.Plasma_cells,1.102,2.228,0.494614004,-0.305733592
MIF_TNFRSF14,Tumor_1.Plasma_cells,MIF_TNFRSF14-Tumor_1.Plasma_cells,7.247,0.1,72.47,1.860158261
COL4A5_a1b1 complex,Tumor_1.Tcell_prolif,COL4A5_a1b1 complex-Tumor_1.Tcell_prolif,0.414,0.1,4.14,0.617000341
COL11A1_a1b1 complex,Tumor_1.Tcell_prolif,COL11A1_a1b1 complex-Tumor_1.Tcell_prolif,0.517,0.1,5.17,0.713490543
COL7A1_a1b1 complex,Tumor_1.Tcell_prolif,COL7A1_a1b1 complex-Tumor_1.Tcell_prolif,0.455,0.1,4.55,0.658011397
COL17A1_a1b1 complex,Tumor_1.Tcell_prolif,COL17A1_a1b1 complex-Tumor_1.Tcell_prolif,0.383,0.1,3.83,0.583198774
ADORA2B_ENTPD1,Tumor_1.Tcell_prolif,ADORA2B_ENTPD1-Tumor_1.Tcell_prolif,0.928,0.1,9.28,0.967547976
LRP6_CKLF,Tumor_1.Tcell_prolif,LRP6_CKLF-Tumor_1.Tcell_prolif,0.878,0.1,8.78,0.943494516
COL9A2_a1b1 complex,Tumor_1.Tcell_prolif,COL9A2_a1b1 complex-Tumor_1.Tcell_prolif,0.78,0.1,7.8,0.892094603
PLXNB2_SEMA4D,Tumor_1.Tcell_prolif,PLXNB2_SEMA4D-Tumor_1.Tcell_prolif,0.437,0.318,1.374213836,0.138054317
COL12A1_a1b1 complex,Tumor_1.Tcell_prolif,COL12A1_a1b1 complex-Tumor_1.Tcell_prolif,0.484,0.1,4.84,0.684845362
COL16A1_a1b1 complex,Tumor_1.Tcell_prolif,COL16A1_a1b1 complex-Tumor_1.Tcell_prolif,0.413,0.1,4.13,0.615950052
COL14A1_a1b1 complex,Tumor_1.Tcell_prolif,COL14A1_a1b1 complex-Tumor_1.Tcell_prolif,0.403,0.1,4.03,0.605305046
COL27A1_a1b1 complex,Tumor_1.Tcell_prolif,COL27A1_a1b1 complex-Tumor_1.Tcell_prolif,1.153,0.1,11.53,1.061829307
MDK_SORL1,Tumor_1.Tcell_prolif,MDK_SORL1-Tumor_1.Tcell_prolif,2.976,1.091,2.727772686,0.435808176
CDH1_aEb7 complex,Tumor_1.Tcell_prolif,CDH1_aEb7 complex-Tumor_1.Tcell_prolif,0.488,0.565,0.863716814,-0.063628626
COL18A1_a1b1 complex,Tumor_1.Tcell_prolif,COL18A1_a1b1 complex-Tumor_1.Tcell_prolif,1.334,0.1,13.34,1.12515583
CXADR_FAM3C,Tumor_1.Tcell_prolif,CXADR_FAM3C-Tumor_1.Tcell_prolif,0.999,2.146,0.465517241,-0.332064229
EGFR_MIF,Tumor_1.Tcell_prolif,EGFR_MIF-Tumor_1.Tcell_prolif,5.418,6.079,0.891265011,-0.049993143
EGFR_COPA,Tumor_1.Tcell_prolif,EGFR_COPA-Tumor_1.Tcell_prolif,0.656,0.525,1.24952381,0.096744536
JAG1_NOTCH2,Tumor_1.Tcell_prolif,JAG1_NOTCH2-Tumor_1.Tcell_prolif,0.692,0.907,0.762954796,-0.117501193
MIF_TNFRSF14,Tumor_1.Tcell_prolif,MIF_TNFRSF14-Tumor_1.Tcell_prolif,7.396,0.1,73.96,1.868996902
ADORA2B_ENTPD1,Tumor_1.Tregs,ADORA2B_ENTPD1-Tumor_1.Tregs,0.45,0.1,4.5,0.653212514
LRP6_CKLF,Tumor_1.Tregs,LRP6_CKLF-Tumor_1.Tregs,0.525,0.1,5.25,0.720159303
F11R_aLb2 complex,Tumor_1.Tregs,F11R_aLb2 complex-Tumor_1.Tregs,0.523,0.403,1.297766749,0.113196643
EGFR_GRN,Tumor_1.Tregs,EGFR_GRN-Tumor_1.Tregs,0.588,0.1,5.88,0.769377326
LTBR_LTB,Tumor_1.Tregs,LTBR_LTB-Tumor_1.Tregs,4.144,0.1,41.44,1.617419747
EGFR_COPA,Tumor_1.Tregs,EGFR_COPA-Tumor_1.Tregs,0.738,0.559,1.320214669,0.120644554
FAM3C_CLEC2D,Tumor_1.Tregs,FAM3C_CLEC2D-Tumor_1.Tregs,2.366,2.555,0.926027397,-0.033376164
MIF_TNFRSF14,Tumor_1.Tregs,MIF_TNFRSF14-Tumor_1.Tregs,7.767,0.1,77.67,1.890253305
EFNA4_EPHA4,Tumor_1.Tumor_1,EFNA4_EPHA4-Tumor_1.Tumor_1,0.403,0.1,4.03,0.605305046
EFNA3_EPHA4,Tumor_1.Tumor_1,EFNA3_EPHA4-Tumor_1.Tumor_1,0.429,0.1,4.29,0.632457292
EPHA2_EFNA3,Tumor_1.Tumor_1,EPHA2_EFNA3-Tumor_1.Tumor_1,0.306,0.1,3.06,0.485721426
EPHA2_EFNA4,Tumor_1.Tumor_1,EPHA2_EFNA4-Tumor_1.Tumor_1,0.28,0.1,2.8,0.447158031
EPHA4_EFNB1,Tumor_1.Tumor_1,EPHA4_EFNB1-Tumor_1.Tumor_1,0.732,0.866,0.845265589,-0.073006811
TNC_aVb6 complex,Tumor_1.Tumor_1,TNC_aVb6 complex-Tumor_1.Tumor_1,0.781,0.1,7.81,0.892651034
FGFR3_EPHA4,Tumor_1.Tumor_1,FGFR3_EPHA4-Tumor_1.Tumor_1,0.442,0.1,4.42,0.645422269
DSG2_DSC3,Tumor_1.Tumor_1,DSG2_DSC3-Tumor_1.Tumor_1,1.145,1.72,0.665697674,-0.17672296
EPHB6_EFNB1,Tumor_1.Tumor_1,EPHB6_EFNB1-Tumor_1.Tumor_1,0.799,0.639,1.250391236,0.097045921
PLXNB2_PTN,Tumor_1.Tumor_1,PLXNB2_PTN-Tumor_1.Tumor_1,0.459,0.1,4.59,0.661812686
PLXNB2_SEMA4C,Tumor_1.Tumor_1,PLXNB2_SEMA4C-Tumor_1.Tumor_1,0.402,0.1,4.02,0.604226053
PTN_PTPRS,Tumor_1.Tumor_1,PTN_PTPRS-Tumor_1.Tumor_1,0.325,0.1,3.25,0.511883361
DSC2_DSG2,Tumor_1.Tumor_1,DSC2_DSG2-Tumor_1.Tumor_1,1.346,1.214,1.108731466,0.044826373
EFNB2_EPHA4,Tumor_1.Tumor_1,EFNB2_EPHA4-Tumor_1.Tumor_1,0.537,0.1,5.37,0.729974286
NRP1_PGF,Tumor_1.Tumor_1,NRP1_PGF-Tumor_1.Tumor_1,0.362,0.1,3.62,0.558708571
CSPG4_a3b1 complex,Tumor_1.Tumor_1,CSPG4_a3b1 complex-Tumor_1.Tumor_1,0.536,0.576,0.930555556,-0.031257694
EFNA1_EPHA4,Tumor_1.Tumor_1,EFNA1_EPHA4-Tumor_1.Tumor_1,1.725,3.665,0.470668486,-0.32728488
EFNA1_EPHA2,Tumor_1.Tumor_1,EFNA1_EPHA2-Tumor_1.Tumor_1,1.602,3.514,0.455890723,-0.341139245
MDK_SORL1,Tumor_1.Tumor_1,MDK_SORL1-Tumor_1.Tumor_1,3.241,1.191,2.721242653,0.43476727
EPHB6_EFNB2,Tumor_1.Tumor_1,EPHB6_EFNB2-Tumor_1.Tumor_1,0.605,0.1,6.05,0.781755375
MDK_LRP1,Tumor_1.Tumor_1,MDK_LRP1-Tumor_1.Tumor_1,2.987,0.1,29.87,1.475235223
NRP2_PGF,Tumor_1.Tumor_1,NRP2_PGF-Tumor_1.Tumor_1,0.739,0.1,7.39,0.868644438
EGFR_HBEGF,Tumor_1.Tumor_1,EGFR_HBEGF-Tumor_1.Tumor_1,0.415,0.1,4.15,0.618048097
CXADR_FAM3C,Tumor_1.Tumor_1,CXADR_FAM3C-Tumor_1.Tumor_1,1.069,2.133,0.501172058,-0.30001315
EGFR_AREG,Tumor_1.Tumor_1,EGFR_AREG-Tumor_1.Tumor_1,1.842,0.1,18.42,1.265289626
JAG1_NOTCH3,Tumor_1.Tumor_1,JAG1_NOTCH3-Tumor_1.Tumor_1,0.698,0.1,6.98,0.843855423
EGFR_MIF,Tumor_1.Tumor_1,EGFR_MIF-Tumor_1.Tumor_1,7.386,0.1,73.86,1.868409303
LAMC1_a6b1 complex,Tumor_1.Tumor_1,LAMC1_a6b1 complex-Tumor_1.Tumor_1,0.36,0.1,3.6,0.556302501
NRP2_SEMA3C,Tumor_1.Tumor_1,NRP2_SEMA3C-Tumor_1.Tumor_1,0.609,0.1,6.09,0.784617293
JAG1_NOTCH2,Tumor_1.Tumor_1,JAG1_NOTCH2-Tumor_1.Tumor_1,0.734,0.908,0.808370044,-0.092389789
CD46_JAG1,Tumor_1.Tumor_1,CD46_JAG1-Tumor_1.Tumor_1,1.016,1.181,0.860287892,-0.06535619
COL4A5_a2b1 complex,Tumor_1.Tumor_2,COL4A5_a2b1 complex-Tumor_1.Tumor_2,0.582,1.687,0.344991108,-0.462192098
COL17A1_a2b1 complex,Tumor_1.Tumor_2,COL17A1_a2b1 complex-Tumor_1.Tumor_2,0.55,0.1,5.5,0.740362689
COL7A1_a2b1 complex,Tumor_1.Tumor_2,COL7A1_a2b1 complex-Tumor_1.Tumor_2,0.622,0.1,6.22,0.793790385
COL11A1_a2b1 complex,Tumor_1.Tumor_2,COL11A1_a2b1 complex-Tumor_1.Tumor_2,0.684,0.1,6.84,0.835056102
EGFR_NRG1,Tumor_1.Tumor_2,EGFR_NRG1-Tumor_1.Tumor_2,0.944,0.1,9.44,0.974971994
ERBB3_NRG1,Tumor_1.Tumor_2,ERBB3_NRG1-Tumor_1.Tumor_2,0.948,0.1,9.48,0.976808337
CDH1_a2b1 complex,Tumor_1.Tumor_2,CDH1_a2b1 complex-Tumor_1.Tumor_2,0.592,1.782,0.332210999,-0.478585993
COL5A2_a2b1 complex,Tumor_1.Tumor_2,COL5A2_a2b1 complex-Tumor_1.Tumor_2,0.469,1.529,0.306736429,-0.513234643
COL5A1_a2b1 complex,Tumor_1.Tumor_2,COL5A1_a2b1 complex-Tumor_1.Tumor_2,0.383,0.1,3.83,0.583198774
COL12A1_a2b1 complex,Tumor_1.Tumor_2,COL12A1_a2b1 complex-Tumor_1.Tumor_2,0.651,0.1,6.51,0.813580989
COL27A1_a2b1 complex,Tumor_1.Tumor_2,COL27A1_a2b1 complex-Tumor_1.Tumor_2,1.32,1.574,0.8386277,-0.076430797
