interacting_pair,interacting_cell,id,valueResponders,valueNonresponders,RatioRespondersVsNonresponders,LogRatioRespondersVsNonresponders
CD55_ADGRE5,B_cells.Macrophages,CD55_ADGRE5-B_cells.Macrophages,3.384,0.1,33.84,1.529430354
CD74_COPA,B_cells.Macrophages,CD74_COPA-B_cells.Macrophages,90.031,72.436,1.242904081,0.094437614
CD74_MIF,B_cells.Macrophages,CD74_MIF-B_cells.Macrophages,94.391,75.916,1.243361083,0.09459727
CD70_GPRC5B,B_cells.Melanocytes,CD70_GPRC5B-B_cells.Melanocytes,2.382,1.122,2.122994652,0.3269489
CD74_APP,B_cells.Melanocytes,CD74_APP-B_cells.Melanocytes,90.235,72.42,1.245995581,0.095516502
CD55_ADGRE5,B_cells.Melanocytes,CD55_ADGRE5-B_cells.Melanocytes,3.306,0.1,33.06,1.519302849
CD74_COPA,B_cells.Melanocytes,CD74_COPA-B_cells.Melanocytes,89.869,72.563,1.238496203,0.09289468
CD74_MIF,B_cells.Melanocytes,CD74_MIF-B_cells.Melanocytes,98.57,77.433,1.272971472,0.104818671
TNF_SEMA4C,B_cells.Myofibroblasts,TNF_SEMA4C-B_cells.Myofibroblasts,0.79,0.1,7.9,0.897627091
CD70_GPRC5B,B_cells.Myofibroblasts,CD70_GPRC5B-B_cells.Myofibroblasts,2.406,0.1,24.06,1.381295623
COL9A2_a1b1 complex,B_cells.Myofibroblasts,COL9A2_a1b1 complex-B_cells.Myofibroblasts,0.894,0.1,8.94,0.951337519
SEMA7A_a1b1 complex,B_cells.Myofibroblasts,SEMA7A_a1b1 complex-B_cells.Myofibroblasts,1.45,1.621,0.894509562,-0.048415013
CD74_APP,B_cells.Myofibroblasts,CD74_APP-B_cells.Myofibroblasts,90.984,73.39,1.239732934,0.093328138
CD55_ADGRE5,B_cells.Myofibroblasts,CD55_ADGRE5-B_cells.Myofibroblasts,3.641,0.1,36.41,1.561220679
CD74_COPA,B_cells.Myofibroblasts,CD74_COPA-B_cells.Myofibroblasts,89.963,72.505,1.240783394,0.093695973
CD74_MIF,B_cells.Myofibroblasts,CD74_MIF-B_cells.Myofibroblasts,92.78,76.023,1.220420136,0.086509365
HLA-E_KLRC1,B_cells.NK_cells,HLA-E_KLRC1-B_cells.NK_cells,9.331,8.905,1.047838293,0.020294266
ICAM1_AREG,B_cells.NK_cells,ICAM1_AREG-B_cells.NK_cells,4.477,0.1,44.77,1.650987094
CD55_ADGRE5,B_cells.NK_cells,CD55_ADGRE5-B_cells.NK_cells,7.256,3.041,2.386057218,0.377680854
CD74_COPA,B_cells.NK_cells,CD74_COPA-B_cells.NK_cells,90.062,72.64,1.239840308,0.093365752
CD74_MIF,B_cells.NK_cells,CD74_MIF-B_cells.NK_cells,93.255,75.511,1.234985631,0.091661905
CD70_TNFRSF17,B_cells.Plasma_cells,CD70_TNFRSF17-B_cells.Plasma_cells,2.245,1.215,1.847736626,0.266640067
