Ligand.Cellset,Receptor.Cellset,PreEffectiveScore,PreEffectiveNum,PreNonEffectiveScore,PreNonEffectiveNum,PreEffectiveVsNonEffectiveScoreRatio,PreEffectiveVsNonEffectiveNumRatio,PostEffectiveScore,PostEffectiveNum,PostNonEffectiveScore,PostNonEffectiveNum,EffectivePostVsPreScoreRatio,EffectivePostVsPreNumRatio,NonEffectivePostVsPreScoreRatio,NonEffectivePostVsPreNumRatio,ResVsNonResScoreRatio,ResVsNonResNumRatio
Macrophages,Tcell_prolif,271.6860 ,21.0000 ,206.0160 ,29.0000 ,1.3188 ,0.7241 ,281.7780 ,21.0000 ,375.6670 ,22.0000 ,1.0371 ,1.0000 ,1.8235 ,0.7586 ,0.5688 ,1.3182 
Macrophages,Tregs,255.7390 ,19.0000 ,164.4650 ,17.0000 ,1.5550 ,1.1176 ,268.3130 ,15.0000 ,360.6120 ,24.0000 ,1.0492 ,0.7895 ,2.1926 ,1.4118 ,0.4785 ,0.5592 
Macrophages,Tumor_1,427.5050 ,31.0000 ,283.9690 ,18.0000 ,1.5055 ,1.7222 ,473.5360 ,22.0000 ,579.1910 ,14.0000 ,1.1077 ,0.7097 ,2.0396 ,0.7778 ,0.5431 ,0.9124 
Macrophages,Tumor_2,449.3240 ,23.0000 ,320.0870 ,33.0000 ,1.4038 ,0.6970 ,457.5290 ,16.0000 ,577.8110 ,22.0000 ,1.0183 ,0.6957 ,1.8052 ,0.6667 ,0.5641 ,1.0435 
Macrophages,pDCs,382.6020 ,28.0000 ,263.2220 ,29.0000 ,1.4535 ,0.9655 ,416.0220 ,21.0000 ,621.3950 ,31.0000 ,1.0873 ,0.7500 ,2.3607 ,1.0690 ,0.4606 ,0.7016 
Melanocytes,B_cells,20.2760 ,6.0000 ,17.1760 ,9.0000 ,1.1805 ,0.6667 ,18.4960 ,11.0000 ,13.1160 ,5.0000 ,0.9122 ,1.8333 ,0.7636 ,0.5556 ,1.1946 ,3.3000 
Melanocytes,CAFs,39.7380 ,19.0000 ,28.9560 ,19.0000 ,1.3724 ,1.0000 ,44.4810 ,26.0000 ,23.3790 ,17.0000 ,1.1194 ,1.3684 ,0.8074 ,0.8947 ,1.3864 ,1.5294 
Melanocytes,CD4_T_cells,20.2470 ,6.0000 ,16.1520 ,8.0000 ,1.2535 ,0.7500 ,16.0590 ,8.0000 ,16.2120 ,7.0000 ,0.7932 ,1.3333 ,1.0037 ,0.8750 ,0.7902 ,1.5238 
Melanocytes,CD8_act_T_cells,20.3970 ,6.0000 ,14.8970 ,8.0000 ,1.3692 ,0.7500 ,23.1320 ,12.0000 ,19.2070 ,11.0000 ,1.1341 ,2.0000 ,1.2893 ,1.3750 ,0.8796 ,1.4545 
Melanocytes,CD8_ex_T_cells,17.0550 ,3.0000 ,18.2400 ,10.0000 ,0.9350 ,0.3000 ,28.5450 ,14.0000 ,15.1200 ,7.0000 ,1.6737 ,4.6667 ,0.8289 ,0.7000 ,2.0191 ,6.6667 
